Pool_order,Pool_name,Initial_X,B,A_1,A_2,A_3,A_4,A_5,A_6,A_7,K_1,K_2,K_3,K_4,K_5,K_6,K_7,Tr_1,Tr_2,Tr_3,Tr_4,Tr_5,Tr_6,Tr_7
1,Non_woody,0,0.35000,1,0,0,0,0,0,0,2.74E-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Woody,0,0.10000,0,1,0,0,0,0,0,0,6.84E-05,0,0,0,0,0,0,0,0,0,0,0,0
3,Fine_litter,0,0.00000,-0.712,0,1,0,0,0,0,0,0,9.13E-03,0,0,0,0,0,0,0,0,0,0,0
4,Coarse_litter,0,0.00000,-0.288,-1,0,1,0,0,0,0,0,0,4.72E-04,0,0,0,0,0,0,0,0,0,0
5,Fast_SOC,0,0.00000,0,0,-0.45,-0.275,1,-0.42,-0.45,0,0,0,0,6.84E-03,0,0,0,0,0,0,0,0,0
6,Slow_SOC,0,0.00000,0,0,0,-0.275,-0.296,1,0,0,0,0,0,0,5.48E-05,0,0,0,0,0,0,0,0
7,Passive_SOC,0,0.00000,0,0,0,0,-0.004,-0.03,1,0,0,0,0,0,0,1.37E-06,0,0,0,0,0,0,0
